0	91,56664	2,524935
0	94,7983	1,829026
0,7011465	73,55541	2,107375
0	76,62536	1,355056
0	86,92023	3,643439
0,6431094	84,66985	2,510726
0	80,65437	1,943264
0,9383049	90,0406	4,599762
0,9691163	72,04511	3,340745
0,5510607	87,39326	3,883299
0,8228449	68,42792	4,059606
0	66,65215	0,9135426
0,628062	82,32862	3,800966
0	78,72347	1,494793
0,5830469	90,71955	0,5446638
0	93,89173	3,317829
0,9486612	60,65722	2,473387
0	74,407	1,185819
0,6202483	92,99949	2,996269
0	79,76791	2,187682
0	79,14426	1,6245
0	83,30885	0,2969113
0,6416987	92,81786	2,868168
0	70,43976	2,929635
0	76,24187	1,225285
0,6340183	97,68563	3,801392
0	78,53996	2,39053
0	72,44174	1,447109
0	95,62923	3,05328
0,9080983	58,89272	3,122895
0,7983502	92,88625	5,980122
0,5518481	71,54991	4,809912
0	74,5351	0,5044905
0	69,86826	0,8398555
0,5614048	58,18152	4,660039
0,6690783	75,56365	2,176448
0	91,81072	2,685916
0	62,47868	1,35626
0	67,44841	5,811455
0	73,20156	0,677941
0	80,95563	2,21301
0	72,11359	1,112262
0	77,99225	2,390412
0,09224904	91,12752	2,526418
0,1888044	94,35524	1,8222
0,6993167	73,12587	2,101494
0,5481623	76,19672	0,2680905
0,1009361	86,4811	3,64406
0,6415161	84,24197	2,507013
0,08140247	80,21388	1,944464
0,9353839	89,61937	4,587188
0,9658568	71,62456	3,331311
0,5499001	86,96287	3,881958
0,8205106	68,00414	4,054791
0,2897768	66,21914	5,426825
0,6264576	81,87972	3,799755
0,5486487	78,27716	1,493951
0,5817394	90,28995	0,5436528
0,5188978	93,43871	5,971244
0,9457617	60,23785	2,475885
0,1743481	73,96907	1,922441
0,6188179	92,57274	2,996542
0,02285677	79,32624	2,183633
0,2126414	78,70868	1,623543
0,1476344	82,86922	0,2948443
0,6399741	92,39212	2,866822
0,02809313	70,00198	2,929648
0,2011081	75,80688	2,033663
0,6324279	97,2308	3,799334
0,4609109	72,01546	2,157448
0,2186547	95,1965	3,061378
0,905288	58,46914	3,11404
0,7961094	92,42913	5,971244
0,5497307	71,11656	4,80143
0,2000121	74,09769	2,374113
0,02286866	69,42892	1,659331
0,5601399	57,75483	4,658719
0,6667894	75,13974	2,172965
0,5417632	62,05034	2,517332
0,2096688	67,01373	5,804051
0,4165725	72,76112	0,676162
0,5490755	80,52618	2,210041
0,02379228	71,67667	4,942076
0,1274041	77,54958	2,387079
0,0929513	90,68845	2,527748
0,1884753	93,91236	1,815414
0,6975216	72,69633	2,095484
0,5468934	75,76723	0,2655523
0,1007633	86,04198	3,644681
