97,128; 6,849; 0,000; Median
91,489; 6,882; 1,000; Median
87,128; 6,882; 2,000; Median
82,660; 6,893; 2,000; Group 3
78,511; 6,927; 3,000; Median
74,681; 6,772; 4,000; Median
71,170; 6,761; 5,000; Median
67,979; 6,661; 6,000; Median
65,000; 6,650; 7,000; Median
61,809; 6,650; 8,000; Median
59,468; 6,683; 9,000; Median
57,500; 6,556; 10,000; Median
54,468; 5,842; 11,000; Median
51,277; 4,891; 12,000; Median
47,872; 3,917; 13,000; Median
43,830; 3,353; 14,000; Median
39,149; 3,253; 15,000; Median
36,064; 3,297; 16,000; Median
32,979; 3,485; 17,000; Median
30,426; 3,629; 18,000; Median
28,617; 3,840; 19,000; Median
26,702; 3,972; 20,000; Median
25,106; 4,050; 21,000; Median
25,319; 4,083; 22,000; Median
24,787; 4,028; 23,000; Median
22,021; 4,061; 24,000; Median
19,787; 4,050; 25,000; Median
17,660; 4,028; 26,000; Median
